schema_version,evidence_id,action_id,action_name,sector,component,source_id,source_title,pdf_page,printed_page,quote_verbatim,quote_language,indicator_ids_addressed,indicator_names_addressed,direction,quantified_value,support_scope,maladaptation_signal,extraction_run_id,review_status,reviewed_by,reviewed_at,review_note
0.3.0,ev_9af1fd68a39f0992,icare_0178,Redirect urban development through climate‑risk spatial planning,geohydrological_disasters,exposure,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",1657,1645,Reviewing land use and spatial planning to reduce exposure to climate risks.,en,60039 | 60040 | 60079 | 60080,Households in risk areas | Urban population density | Households in risk areas | Urban population density,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e20c87233a143795,icare_0178,Redirect urban development through climate‑risk spatial planning,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",1657,1645,Reviewing land use and spatial planning to reduce exposure to climate risks.,en,60021 | 60022 | 60025 | 60061 | 60062 | 60065,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_438e47a1ea23085d,icare_0178,Redirect urban development through climate‑risk spatial planning,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60021 | 60022 | 60025 | 60061 | 60062 | 60065,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_5bef3e4864fe3424,icare_0180,Expand urban green-blue networks and corridors,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60062 | 60065 | 60078,Actions to reduce risk | Land use and occupation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_72a4e3a8ce6e7233,icare_0180,Expand urban green-blue networks and corridors,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,9,9,Infrastructure resilience and a city's environs cannot rely on over-engineered solutions. Cities need to incorporate their natural assets in building their resilience in a manner that maximizes the deployment of natural features further adding to their sustainability.,en,60062 | 60065 | 60078,Actions to reduce risk | Land use and occupation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_9e6dcb45414988ff,icare_0181,Restore in Vulnerable Areas,geohydrological_disasters,exposure,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation (high confidence). These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes (high confidence).",en,60039 | 60040 | 60079 | 60080,Households in risk areas | Urban population density | Households in risk areas | Urban population density,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_767af2a746784deb,icare_0181,Restore in Vulnerable Areas,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation (high confidence). These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes (high confidence).",en,60021 | 60022 | 60027 | 60034 | 60061 | 60062 | 60067 | 60074,Urban occupation management in risk areas | Actions to reduce risk | Housing governance | Inappropriate households | Urban occupation management in risk areas | Actions to reduce risk | Housing governance | Inappropriate households,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_df7107f1e26b8116,icare_0181,Restore in Vulnerable Areas,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,5,5,"A ação de apoio a Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais do Programa Gestão de Riscos e Desastres objetiva apoiar a redução do risco de desastres naturais em municípios críticos a partir do planejamento e da execução de obras, em articulação com as políticas de desenvolvimento urbano, de uso e ocupação do solo e de gestão das respectivas bacias hidrográficas, com foco na gestão sustentável da drenagem urbana, por meio de ações estruturais e não-estruturais dirigidas à recuperação de áreas úmidas, à prevenção, ao controle e à minimização dos impactos provocados por alagamentos, enchentes e inundações urbanas e ribeirinhas.",pt,60021 | 60022 | 60034 | 60037 | 60038 | 60061 | 60062 | 60074 | 60077 | 60078,Urban occupation management in risk areas | Actions to reduce risk | Inappropriate households | Basic sanitation | Drainage | Urban occupation management in risk areas | Actions to reduce risk | Inappropriate households | Basic sanitation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_f3ab5c7ac1d721bb,icare_0181,Restore in Vulnerable Areas,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,9,9,"Os projetos deverão quantificar o número de famílias e edificações beneficiadas que sairão da área de risco de alagamentos para o cenário projetado após a execução das obras de drenagem propostas, por meio da apresentação de mapas que apresentem as manchas de inundação para diferentes Tempos de Retorno (TR), para situação antes e após a execução da intervenção na área proposta.",pt,60021 | 60022 | 60034 | 60038 | 60061 | 60062 | 60074 | 60077 | 60078,Urban occupation management in risk areas | Actions to reduce risk | Inappropriate households | Drainage | Urban occupation management in risk areas | Actions to reduce risk | Inappropriate households | Basic sanitation | Drainage,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_856f44fb128a4805,icare_0182,Develop an Urban Afforestation Plan,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60022 | 60025 | 60026 | 60062 | 60065 | 60066,Actions to reduce risk | Land use and occupation | Environmental governance | Actions to reduce risk | Land use and occupation | Environmental governance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_fc0c0b6367f9400d,icare_0182,Develop an Urban Afforestation Plan,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,9,9,Infrastructure resilience and a city's environs cannot rely on over-engineered solutions. Cities need to incorporate their natural assets in building their resilience in a manner that maximizes the deployment of natural features further adding to their sustainability.,en,60022 | 60025 | 60026 | 60062 | 60065 | 60066,Actions to reduce risk | Land use and occupation | Environmental governance | Actions to reduce risk | Land use and occupation | Environmental governance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_ecbba6e2dfe25e70,icare_0183,Implement Multi-hazard Early Warning Systems (MH-EWS),geohydrological_disasters,vulnerability,GS_SRC_009,Early Warnings for All: Executive Action Plan 2023–2027,6,1,Early warnings save lives and provide vast economic benefits. Just 24 hours' notice of an impending hazardous event can cut the ensuing damage by 30 per cent. The Global Commission on Adaptation found that spending just $800 million on such systems in developing countries would avoid losses of $3–16 billion per annum.,en,60023 | 60063,Early warning systems | Early warning systems,supports,24 hours' notice can reduce ensuing damage by 30%; $800m investment could avoid $3–16bn annual losses,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0736feedb33addd1,icare_0184,Upgrade Slope stabilization and drainage,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,5,5,"A ação de apoio a Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais do Programa Gestão de Riscos e Desastres objetiva apoiar a redução do risco de desastres naturais em municípios críticos a partir do planejamento e da execução de obras, em articulação com as políticas de desenvolvimento urbano, de uso e ocupação do solo e de gestão das respectivas bacias hidrográficas, com foco na gestão sustentável da drenagem urbana, por meio de ações estruturais e não-estruturais dirigidas à recuperação de áreas úmidas, à prevenção, ao controle e à minimização dos impactos provocados por alagamentos, enchentes e inundações urbanas e ribeirinhas.",pt,60022 | 60025 | 60038 | 60062 | 60065 | 60078,Actions to reduce risk | Land use and occupation | Drainage | Actions to reduce risk | Land use and occupation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0d2d4fac5e088f05,icare_0184,Upgrade Slope stabilization and drainage,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,9,9,"Os projetos deverão quantificar o número de famílias e edificações beneficiadas que sairão da área de risco de alagamentos para o cenário projetado após a execução das obras de drenagem propostas, por meio da apresentação de mapas que apresentem as manchas de inundação para diferentes Tempos de Retorno (TR), para situação antes e após a execução da intervenção na área proposta.",pt,60022 | 60038 | 60062 | 60078,Actions to reduce risk | Drainage | Actions to reduce risk | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_74cbccee1df006ef,icare_0184,Upgrade Slope stabilization and drainage,geohydrological_disasters,vulnerability,GS_SRC_010,Lifelines: The Resilient Infrastructure Opportunity,16,xiv,"Invest in regulations and planning, in the early stages of project design, and in maintenance. Doing so can significantly outweigh the costs of repairs or reconstruction after a disaster strikes.",en,60022 | 60025 | 60038 | 60062 | 60065 | 60078,Actions to reduce risk | Land use and occupation | Drainage | Actions to reduce risk | Land use and occupation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_271143faf7b7bfdd,ipcc_0087,Improve Infrastructure retrofitting,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60022 | 60027 | 60028 | 60034 | 60035 | 60036 | 60037 | 60038 | 60062 | 60067 | 60068 | 60074 | 60075 | 60076 | 60077 | 60078,Actions to reduce risk | Housing governance | Transport governance | Inappropriate households | Lack of urban mobility | Inaccessibility to cities | Basic sanitation | Drainage | Actions to reduce risk | Housing governance | Transport governance | Inappropriate households | Lack of urban mobility | Inaccessibility to cities | Basic sanitation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_664515c2033bdf69,ipcc_0087,Improve Infrastructure retrofitting,geohydrological_disasters,vulnerability,GS_SRC_010,Lifelines: The Resilient Infrastructure Opportunity,16,xiv,"Invest in regulations and planning, in the early stages of project design, and in maintenance. Doing so can significantly outweigh the costs of repairs or reconstruction after a disaster strikes.",en,60022 | 60027 | 60028 | 60034 | 60035 | 60036 | 60037 | 60038 | 60062 | 60067 | 60068 | 60074 | 60075 | 60076 | 60077 | 60078,Actions to reduce risk | Housing governance | Transport governance | Inappropriate households | Lack of urban mobility | Inaccessibility to cities | Basic sanitation | Drainage | Actions to reduce risk | Housing governance | Transport governance | Inappropriate households | Lack of urban mobility | Inaccessibility to cities | Basic sanitation | Drainage,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e65ae284f04de95c,ipcc_0088,Update and enforce climate‑resilient building codes,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60021 | 60022 | 60025 | 60027 | 60034 | 60061 | 60062 | 60065 | 60067 | 60074,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Housing governance | Inappropriate households | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Housing governance | Inappropriate households,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_fa38d35ab4c14fda,ipcc_0088,Update and enforce climate‑resilient building codes,geohydrological_disasters,vulnerability,GS_SRC_010,Lifelines: The Resilient Infrastructure Opportunity,16,xiv,"Invest in regulations and planning, in the early stages of project design, and in maintenance. Doing so can significantly outweigh the costs of repairs or reconstruction after a disaster strikes.",en,60021 | 60022 | 60025 | 60027 | 60034 | 60061 | 60062 | 60065 | 60067 | 60074,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Housing governance | Inappropriate households | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Housing governance | Inappropriate households,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_6196767b7b11a53c,ipcc_0089,Spatially redirect development,geohydrological_disasters,exposure,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",1657,1645,Reviewing land use and spatial planning to reduce exposure to climate risks.,en,60039 | 60040 | 60079 | 60080,Households in risk areas | Urban population density | Households in risk areas | Urban population density,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0453c879f1217bce,ipcc_0089,Spatially redirect development,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",1657,1645,Reviewing land use and spatial planning to reduce exposure to climate risks.,en,60021 | 60022 | 60025 | 60061 | 60062 | 60065,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_8304877af93c3dce,ipcc_0089,Spatially redirect development,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60021 | 60022 | 60025 | 60061 | 60062 | 60065,Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation | Urban occupation management in risk areas | Actions to reduce risk | Land use and occupation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_92f302c4a3d97a53,ipcc_0090,Expand climate risk insurance coverage,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",111,99,"Risk insurance can be a feasible tool to adapt to transfer climate risks and support sustainable development (high confidence). They can reduce both vulnerability and exposure, support post-disaster recovery and reduce financial burden on governments, households and business.",en,60014 | 60015 | 60016 | 60017 | 60054 | 60055 | 60056 | 60057,Investment in adaptation policies | Tax management | Employment and income | Gross domestic product by urban area | Investment in adaptation policies | Tax management | Employment and income | Gross domestic product by urban area,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0b7b892a982c9ba7,ipcc_0090,Expand climate risk insurance coverage,geohydrological_disasters,vulnerability,GS_SRC_006,Coping with Losses: Options for Disaster Risk Financing in Brazil,10,8,"The use of fiscal risk assessment tools can support policy makers to design a disaster risk financing and insurance strategy better suited to the country's hazard profile. By using partial historical data on disaster losses, it was possible to carry out a preliminary fiscal risk assessment of Brazil.",en,60014 | 60015 | 60016 | 60017 | 60054 | 60055 | 60056 | 60057,Investment in adaptation policies | Tax management | Employment and income | Gross domestic product by urban area | Investment in adaptation policies | Tax management | Employment and income | Gross domestic product by urban area,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_df47f592cff00ab3,ipcc_0091,Support livelihood diversification for climate resilience,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",111,99,"There is high evidence (medium agreement) that diversifying livelihoods improves incomes and reduces socioeconomic vulnerability, but feasibility changes depending on livelihood type, opportunities and local context.",en,60016 | 60017 | 60033 | 60056 | 60057 | 60073,Employment and income | Gross domestic product by urban area | Income inequality | Employment and income | Gross domestic product by urban area | Income inequality,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d670480c9bdb8e47,ipcc_0092,Expand climate‑responsive social safety nets,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Integrating climate adaptation into social protection programs, including cash transfers and public works programmes, is highly feasible and increases resilience to climate change, especially when supported by basic services and infrastructure. Social safety nets are increasingly being reconfigured to build adaptive capacities of the most vulnerable in rural and also urban communities.",en,60016 | 60031 | 60033 | 60056 | 60071 | 60073,Employment and income | Population with special demands | Income inequality | Employment and income | Population with special demands | Income inequality,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_bd47137c9ea0dfc9,ipcc_0099,Increase Water Capture and Storage,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,5,5,"A ação de apoio a Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais do Programa Gestão de Riscos e Desastres objetiva apoiar a redução do risco de desastres naturais em municípios críticos a partir do planejamento e da execução de obras, em articulação com as políticas de desenvolvimento urbano, de uso e ocupação do solo e de gestão das respectivas bacias hidrográficas, com foco na gestão sustentável da drenagem urbana, por meio de ações estruturais e não-estruturais dirigidas à recuperação de áreas úmidas, à prevenção, ao controle e à minimização dos impactos provocados por alagamentos, enchentes e inundações urbanas e ribeirinhas.",pt,60062 | 60078,Actions to reduce risk | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_55fef27ed813f7fd,ipcc_0101,Improve urban water management,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,5,5,"A ação de apoio a Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais do Programa Gestão de Riscos e Desastres objetiva apoiar a redução do risco de desastres naturais em municípios críticos a partir do planejamento e da execução de obras, em articulação com as políticas de desenvolvimento urbano, de uso e ocupação do solo e de gestão das respectivas bacias hidrográficas, com foco na gestão sustentável da drenagem urbana, por meio de ações estruturais e não-estruturais dirigidas à recuperação de áreas úmidas, à prevenção, ao controle e à minimização dos impactos provocados por alagamentos, enchentes e inundações urbanas e ribeirinhas.",pt,60037 | 60038 | 60062 | 60070 | 60077 | 60078,Basic sanitation | Drainage | Actions to reduce risk | Municipal basic sanitation plan | Basic sanitation | Drainage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_76cc19f0a9bd11f7,ipcc_0101,Improve urban water management,geohydrological_disasters,vulnerability,GS_SRC_004,Manual para Apresentação de Propostas para Sistemas de Drenagem Urbana Sustentável e de Manejo de Águas Pluviais,9,9,"Os projetos deverão quantificar o número de famílias e edificações beneficiadas que sairão da área de risco de alagamentos para o cenário projetado após a execução das obras de drenagem propostas, por meio da apresentação de mapas que apresentem as manchas de inundação para diferentes Tempos de Retorno (TR), para situação antes e após a execução da intervenção na área proposta.",pt,60038 | 60062 | 60070 | 60077 | 60078,Drainage | Actions to reduce risk | Municipal basic sanitation plan | Basic sanitation | Drainage,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_26bd61f8765158c5,ipcc_0103,Strengthen cooperative climate governance,geohydrological_disasters,vulnerability,GS_SRC_008,Making Cities Resilient 2030 (MCR2030): Initial Proposal,2,2,"Strategic Objective 2. Strengthen cities' capacity to develop local strategies/plans to enhance resilience; by: improving their self-assessment and diagnostic skills; providing relevant training and tools for strategic planning to reduce disaster and climate risks and for risk-informed development. Strategic Objective 3. Support cities to implement local strategies/plans to enhance resilience; by: providing access to finance for supporting DRR, climate change adaptation and to implement resilience initiatives; improving the ability of local authorities to plan, design, build and manage resilient infrastructure; improving the capacity of local authorities to use nature-based solutions and seek innovative approach to address local resilience.",en,60019 | 60025 | 60026 | 60059 | 60065 | 60066,Institutions for risk management | Land use and occupation | Environmental governance | Institutions for risk management | Land use and occupation | Environmental governance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_7b197fed8182a2c4,ipcc_0104,Plan and support permanent climate‑related migration,geohydrological_disasters,exposure,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation (high confidence). These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes (high confidence).",en,60039 | 60040 | 60079 | 60080,Households in risk areas | Urban population density | Households in risk areas | Urban population density,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c458f9dd1f2a376e,ipcc_0104,Plan and support permanent climate‑related migration,geohydrological_disasters,exposure,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",108,96,"Properly supported and where levels of agency and assets are high, migration as an adaptation to climate change can reduce exposure and socioeconomic vulnerability (medium confidence). However, migration becomes a risk when climate hazards cause an individual, household or community to move involuntarily or with low agency (high confidence).",en,60039 | 60040 | 60079 | 60080,Households in risk areas | Urban population density | Households in risk areas | Urban population density,qualifies,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_a3d1cbe682e5c9ea,ipcc_0104,Plan and support permanent climate‑related migration,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",37,25,"Responses to ongoing sea level rise and land subsidence in low-lying coastal cities and settlements and small islands include protection, accommodation, advance and planned relocation (high confidence). These responses are more effective if combined and/or sequenced, planned well ahead, aligned with sociocultural values and development priorities, and underpinned by inclusive community engagement processes (high confidence).",en,60021 | 60027 | 60034 | 60061 | 60067 | 60074,Urban occupation management in risk areas | Housing governance | Inappropriate households | Urban occupation management in risk areas | Housing governance | Inappropriate households,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_7a53793d307bec4f,ipcc_0104,Plan and support permanent climate‑related migration,geohydrological_disasters,vulnerability,GS_SRC_002,"Climate Change 2022: Impacts, Adaptation and Vulnerability",108,96,"Properly supported and where levels of agency and assets are high, migration as an adaptation to climate change can reduce exposure and socioeconomic vulnerability (medium confidence). However, migration becomes a risk when climate hazards cause an individual, household or community to move involuntarily or with low agency (high confidence).",en,60021 | 60027 | 60034 | 60061 | 60067 | 60074,Urban occupation management in risk areas | Housing governance | Inappropriate households | Urban occupation management in risk areas | Housing governance | Inappropriate households,qualifies,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_caf4f0896f70d832,c40_0048,Upgrade urban drainage systems,health,vulnerability,H_SRC_008,Operational Framework for Building Climate Resilient Health Systems,17,11,"The challenge of climate change requires a wider perspective, which includes the selection of more climate-resilient intervention options both within healthcare and in health-determining sectors, from renewable energy in health facilities to climate resilient water and sanitation infrastructure. Building and expanding traditional systems of healthcare delivery to enhance climate resilience includes attention to improved management of the environmental determinants of health, such as water and sanitation, nutrition and air quality.",en,50013 | 50089,No access to adequate sanitation | Water supply,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b11cdfc1a47b1dcb,c40_0053,Promote water-saving technologies and practices,health,vulnerability,H_SRC_008,Operational Framework for Building Climate Resilient Health Systems,17,11,"The challenge of climate change requires a wider perspective, which includes the selection of more climate-resilient intervention options both within healthcare and in health-determining sectors, from renewable energy in health facilities to climate resilient water and sanitation infrastructure. Building and expanding traditional systems of healthcare delivery to enhance climate resilience includes attention to improved management of the environmental determinants of health, such as water and sanitation, nutrition and air quality.",en,50089 | 50090,Water supply | Presence of cistern,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_fc6caa3878cad4ad,c40_0056,Improve Watershed Protection and Management,health,vulnerability,H_SRC_008,Operational Framework for Building Climate Resilient Health Systems,17,11,"The challenge of climate change requires a wider perspective, which includes the selection of more climate-resilient intervention options both within healthcare and in health-determining sectors, from renewable energy in health facilities to climate resilient water and sanitation infrastructure. Building and expanding traditional systems of healthcare delivery to enhance climate resilience includes attention to improved management of the environmental determinants of health, such as water and sanitation, nutrition and air quality.",en,50013 | 50089,No access to adequate sanitation | Water supply,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_9d00a2d8ddf1e908,icare_0145,Strengthen the healthcare system to respond effectively to extreme events,health,vulnerability,H_SRC_008,Operational Framework for Building Climate Resilient Health Systems,15,9,For health system strengthening the following measures are recommended: an adequate workforce and climate-proofed infrastructure in local facilities to control climate-sensitive diseases and improve response to local emergencies; surveillance systems to monitor population health and environmental exposure; and good practices of health governance.,en,50019 | 50020 | 50046 | 50069 | 50093,Basic care coverage | Access to diagnosis and treatment | Basic care coverage | Basic care coverage | Basic care coverage,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_6f250a901994df80,icare_0145,Strengthen the healthcare system to respond effectively to extreme events,health,vulnerability,H_SRC_009,Guidance for Climate Resilient and Environmentally Sustainable Health Care Facilities,8,vi,"Climate-resilient and environmentally sustainable health care facilities contribute to high quality of care and accessibility of services, and by helping reduce facility costs also ensure better affordability. They are, therefore, an important component of universal health coverage.",en,50019 | 50020 | 50046 | 50069 | 50093,Basic care coverage | Access to diagnosis and treatment | Basic care coverage | Basic care coverage | Basic care coverage,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
